==============================
勘定科目 UTF-8直接書き出し確認
==============================
ID	CODE	ACTIVE	SORT	NAME
1	001	ON	10	消耗品費
2	002	ON	20	旅費交通費
3	003	ON	30	通信費
4	004	ON	40	荷造運賃
5	005	ON	50	支払手数料
6	006	ON	60	広告宣伝費
7	007	ON	70	地代家賃
8	008	ON	80	水道光熱費
9	009	ON	90	雑費
10	010	ON	100	仕入高
431		ON	10	諸会費
432		ON	20	研究費
433		ON	30	新聞図書費
434		ON	40	印刷費
435		ON	50	保険料
436		ON	60	修繕費
437		ON	70	家賃地代
438		ON	80	接待交際費
439		ON	90	諸税公課
440		ON	100	会議費
441		ON	110	衛生費
443		ON	130	事務費
447		ON	170	荷造材料
448		ON	180	給料及手当
449		ON	190	役員報酬
450		ON	200	法定福利費
451		ON	210	福利厚生費
452		ON	220	原材料
453		ON	230	仕掛品
454		ON	240	外注工賃
455		ON	250	売上原価
456		ON	260	支払手形
457		ON	270	割引手形
458		ON	280	副材料
459		ON	290	前受金
460		ON	300	買掛金
461		ON	310	未払金
462		ON	320	仮払金
463		ON	330	預り金
464		ON	340	売掛金
465		ON	350	当座預金
466		ON	360	普通預金
467		ON	370	支払利息
469		ON	390	雑収入
470		ON	400	受取手形

件数: 45

確認ポイント:
- このtxtで日本語が読めれば、DBは正常でPowerShell表示だけの文字化け
- このtxtでも文字化けしていれば、DB内の科目名が文字化けしている
