==============================
勘定科目 account_code NULL化 並べ直し後
==============================

変更件数: 45

変更後:
ID	CODE	ACTIVE	SORT	NAME
1		ON	10	普通預金
2		ON	20	当座預金
3		ON	30	売掛金
4		ON	40	買掛金
5		ON	50	未払金
6		ON	60	預り金
7		ON	70	仮払金
8		ON	80	前受金
9		ON	90	受取手形
10		ON	100	支払手形
11		ON	110	割引手形
12		ON	120	仕入高
13		ON	130	原材料
14		ON	140	副材料
15		ON	150	仕掛品
16		ON	160	外注工賃
17		ON	170	売上原価
18		ON	180	消耗品費
19		ON	190	旅費交通費
20		ON	200	通信費
21		ON	210	水道光熱費
22		ON	220	支払手数料
23		ON	230	荷造運賃
24		ON	240	荷造材料
25		ON	250	給料及手当
26		ON	260	役員報酬
27		ON	270	法定福利費
28		ON	280	福利厚生費
29		ON	290	地代家賃
30		ON	300	家賃地代
31		ON	310	接待交際費
32		ON	320	会議費
33		ON	330	雑費
34		ON	340	諸会費
35		ON	350	研究費
36		ON	360	新聞図書費
37		ON	370	印刷費
38		ON	380	保険料
39		ON	390	修繕費
40		ON	400	諸税公課
41		ON	410	衛生費
42		ON	420	事務費
43		ON	430	支払利息
44		ON	440	雑収入
45		ON	450	広告宣伝費

OK: account_code をすべて NULL にしました。
