==============================
勘定科目 表示順 ID順整理結果
==============================

変更前:
ID	SORT	NAME
1	10	消耗品費
2	20	旅費交通費
3	30	通信費
4	40	荷造運賃
5	50	支払手数料
6	60	広告宣伝費
7	70	地代家賃
8	80	水道光熱費
9	90	雑費
10	100	仕入高
11	10	諸会費
12	20	研究費
13	30	新聞図書費
14	40	印刷費
15	50	保険料
16	60	修繕費
17	70	家賃地代
18	80	接待交際費
19	90	諸税公課
20	100	会議費
21	110	衛生費
22	130	事務費
23	170	荷造材料
24	180	給料及手当
25	190	役員報酬
26	200	法定福利費
27	210	福利厚生費
28	220	原材料
29	230	仕掛品
30	240	外注工賃
31	250	売上原価
32	260	支払手形
33	270	割引手形
34	280	副材料
35	290	前受金
36	300	買掛金
37	310	未払金
38	320	仮払金
39	330	預り金
40	340	売掛金
41	350	当座預金
42	360	普通預金
43	370	支払利息
44	390	雑収入
45	400	受取手形

変更後:
ID	SORT	NAME
1	10	消耗品費
2	20	旅費交通費
3	30	通信費
4	40	荷造運賃
5	50	支払手数料
6	60	広告宣伝費
7	70	地代家賃
8	80	水道光熱費
9	90	雑費
10	100	仕入高
11	110	諸会費
12	120	研究費
13	130	新聞図書費
14	140	印刷費
15	150	保険料
16	160	修繕費
17	170	家賃地代
18	180	接待交際費
19	190	諸税公課
20	200	会議費
21	210	衛生費
22	220	事務費
23	230	荷造材料
24	240	給料及手当
25	250	役員報酬
26	260	法定福利費
27	270	福利厚生費
28	280	原材料
29	290	仕掛品
30	300	外注工賃
31	310	売上原価
32	320	支払手形
33	330	割引手形
34	340	副材料
35	350	前受金
36	360	買掛金
37	370	未払金
38	380	仮払金
39	390	預り金
40	400	売掛金
41	410	当座預金
42	420	普通預金
43	430	支払利息
44	440	雑収入
45	450	受取手形

OK: 勘定科目の表示順をID順で10刻みに整理しました。
